SNR,Predicted_BER,SC_BER,SCL_BER,LVA_BER,Predicted_Outage,SC_Outage,SCL_Outage,LVA_Outage,Predicted_Power,SC_Power,SCL_Power,LVA_Power
0,0.38525390625,0.36998046875,0.457578125,0.4520703125,1.0,1.0,1.0,1.0,0.4563600000000003,0.43968,0.48767999999999995,0.54768
1,0.361318359375,0.32541015625,0.448388671875,0.457099609375,1.0,1.0,1.0,1.0,0.4608000000000001,0.43968,0.48767999999999995,0.54768
2,0.33080078125,0.28693359375,0.43818359375,0.4424609375,1.0,1.0,1.0,1.0,0.46259999999999996,0.43968,0.48767999999999995,0.54768
3,0.289296875,0.21845703125,0.427392578125,0.430478515625,1.0,1.0,1.0,1.0,0.4591200000000004,0.43968,0.48767999999999995,0.54768
4,0.256171875,0.183330078125,0.410400390625,0.416865234375,1.0,1.0,1.0,1.0,0.45684000000000013,0.43968,0.48767999999999995,0.54768
5,0.20939453125,0.135654296875,0.394423828125,0.3889453125,0.98,0.99,1.0,1.0,0.4616400000000002,0.43968,0.48767999999999995,0.54768
6,0.1767578125,0.10236328125,0.361298828125,0.378173828125,0.95,0.93,1.0,1.0,0.4590000000000002,0.43968,0.48767999999999995,0.54768
7,0.15435546875,0.05578125,0.3459765625,0.34822265625,0.91,0.81,1.0,1.0,0.4574400000000001,0.43968,0.48767999999999995,0.54768
8,0.15623046875,0.042255859375,0.325517578125,0.33228515625,0.83,0.76,1.0,1.0,0.4608000000000002,0.43968,0.48767999999999995,0.54768
9,0.124677734375,0.044482421875,0.283818359375,0.30658203125,0.7,0.61,1.0,1.0,0.4600799999999999,0.43968,0.48767999999999995,0.54768
10,0.242578125,0.013564453125,0.2871875,0.2633984375,0.97,0.4,1.0,1.0,0.4598000000000006,0.40304,0.44704,0.50204
11,0.21353515625,0.010791015625,0.225458984375,0.249306640625,0.98,0.42,1.0,1.0,0.45881000000000066,0.40304,0.44704,0.50204
12,0.1884375,0.012890625,0.21255859375,0.2247265625,0.95,0.36,1.0,1.0,0.45496000000000053,0.40304,0.44704,0.50204
13,0.1612109375,0.00716796875,0.1875,0.193916015625,0.98,0.39,1.0,1.0,0.4601300000000005,0.40304,0.44704,0.50204
14,0.168564453125,0.00255859375,0.1617578125,0.181318359375,0.96,0.3,1.0,1.0,0.4618900000000007,0.40304,0.44704,0.50204
15,0.123291015625,0.002041015625,0.134345703125,0.157197265625,0.93,0.35,0.98,0.98,0.4524300000000006,0.40304,0.44704,0.50204
16,0.127255859375,0.0022265625,0.122978515625,0.112529296875,0.93,0.28,0.97,0.93,0.46134000000000064,0.40304,0.44704,0.50204
17,0.09068359375,0.000830078125,0.11431640625,0.09240234375,0.85,0.33,0.93,0.94,0.45881000000000066,0.40304,0.44704,0.50204
18,0.087958984375,0.00203125,0.089326171875,0.081875,0.82,0.26,0.82,0.86,0.4615600000000006,0.40304,0.44704,0.50204
19,0.0605859375,0.003388671875,0.0761328125,0.0667578125,0.75,0.18,0.8,0.78,0.45452000000000053,0.40304,0.44704,0.50204
20,0.03083984375,0.000751953125,0.053994140625,0.071572265625,0.53,0.26,0.7,0.74,0.38889999999999963,0.3664,0.4064,0.4564
21,0.022861328125,0.000693359375,0.048349609375,0.048466796875,0.43,0.24,0.6,0.56,0.3827999999999996,0.3664,0.4064,0.4564
22,0.018720703125,0.000751953125,0.050185546875,0.040107421875,0.39,0.23,0.59,0.56,0.38439999999999974,0.3664,0.4064,0.4564
23,0.017197265625,0.000556640625,0.025048828125,0.025634765625,0.39,0.2,0.44,0.44,0.38479999999999975,0.3664,0.4064,0.4564
24,0.016611328125,0.00076171875,0.019052734375,0.02515625,0.35,0.23,0.34,0.39,0.3888999999999998,0.3664,0.4064,0.4564
25,0.014052734375,0.00048828125,0.02291015625,0.019814453125,0.31,0.13,0.34,0.35,0.38809999999999967,0.3664,0.4064,0.4564
26,0.008359375,0.00041015625,0.016689453125,0.0166796875,0.23,0.14,0.21,0.26,0.38529999999999975,0.3664,0.4064,0.4564
27,0.0109765625,0.000361328125,0.014892578125,0.0094921875,0.22,0.12,0.23,0.17,0.38529999999999975,0.3664,0.4064,0.4564
28,0.005546875,0.000478515625,0.01044921875,0.008779296875,0.16,0.16,0.18,0.16,0.3865999999999996,0.3664,0.4064,0.4564
29,0.00328125,0.00041015625,0.01201171875,0.012080078125,0.2,0.15,0.18,0.16,0.3835999999999997,0.3664,0.4064,0.4564
30,0.003583984375,0.00025390625,0.00296875,0.0042578125,0.12,0.11,0.06,0.12,0.38689999999999986,0.3664,0.4064,0.4564
